1330,30600,30600,30600,30600
4711,31240,30600,30600,30600
4622,30840,30600,30600,30600
4776,30600,30600,30600,30600
4789,30600,30600,30600,30600
4721,31240,30600,30600,30600
4724,31240,30600,30600,30600
4729,31240,30600,30600,30600
4781,30600,30600,30600,30600
4789,30600,30600,30600,30600
4649,32640,31640,31640,31640
4751,31240,30600,30600,30600
4752,31240,30600,30600,30600
4753,31240,30600,30600,30600
4754,31240,30600,30600,30600
4759,31240,30600,30600,30600
4789,30600,30600,30600,30600
4719,31240,30600,30600,30600
4642,32640,31640,31640,31640
4719,31240,30600,30600,30600
4771,31240,30600,30600,30600
4772,31240,30600,30600,30600
4779,31240,30600,30600,30600
4782,30600,30600,30600,30600
4752,31240,30600,30600,30600
4789,30600,30600,30600,30600
4763,31240,30600,30600,30600
4789,30600,30600,30600,30600
4743,31240,30600,30600,30600
4611,30600,30600,30600,30600
4623,32640,31640,31640,31640
4789,30600,30600,30600,30600
4624,32640,31640,31640,31640
4789,30600,30600,30600,30600
4776,30600,30600,30600,30600
4776,30600,30600,30600,30600
4789,30600,30600,30600,30600
2229,30600,30600,30600,30600
3299,30600,30600,30600,30600
4776,30600,30600,30600,30600
4789,30600,30600,30600,30600
4531,32640,31640,31640,31640
4532,31240,30600,30600,30600
1520,30600,30600,30600,30600
4772,31240,30600,30600,30600
4782,30600,30600,30600,30600
1392,30600,30600,30600,30600
1394,30600,30600,30600,30600
1395,30600,30600,30600,30600
1399,30600,30600,30600,30600
1411,30600,30600,30600,30600
1431,30600,30600,30600,30600
1439,30600,30600,30600,30600
1621,30600,30600,30600,30600
1629,30600,30600,30600,30600
1729,30600,30600,30600,30600
2219,30600,30600,30600,30600
2223,30600,30600,30600,30600
2229,30600,30600,30600,30600
2313,30600,30600,30600,30600
2319,30600,30600,30600,30600
2342,30600,30600,30600,30600
2511,30600,30600,30600,30600
2512,30600,30600,30600,30600
2593,30600,30600,30600,30600
2599,30600,30600,30600,30600
4719,31240,30600,30600,30600
4751,31240,30600,30600,30600
4778,31240,30600,30600,30600
4789,30600,30600,30600,30600
9523,30600,30600,30600,30600
9524,30600,30600,30600,30600
9529,30600,30600,30600,30600
1722,30600,30600,30600,30600
2341,30600,30600,30600,30600
9521,30600,30600,30600,30600
9522,30600,30600,30600,30600
9529,30600,30600,30600,30600
2219,30600,30600,30600,30600
4778,31240,30600,30600,30600
2511,30600,30600,30600,30600
2512,30600,30600,30600,30600
2571,30600,30600,30600,30600
2572,30600,30600,30600,30600
2573,30600,30600,30600,30600
2594,30600,30600,30600,30600
2599,30600,30600,30600,30600
4778,31240,30600,30600,30600
4789,30600,30600,30600,30600
2332,30600,30600,30600,30600
2361,34040,32540,31240,30600
2362,30600,30600,30600,30600
2369,30600,30600,30600,30600
2370,30600,30600,30600,30600
4673,32640,31640,31640,31640
4778,31240,30600,30600,30600
4789,30600,30600,30600,30600
1512,30600,30600,30600,30600
4778,31240,30600,30600,30600
4789,30600,30600,30600,30600
1420,30600,30600,30600,30600
9529,30600,30600,30600,30600
3212,30600,30600,30600,30600
9525,30600,30600,30600,30600
3213,30600,30600,30600,30600
4789,30600,30600,30600,30600
1392,30600,30600,30600,30600
1399,30600,30600,30600,30600
1419,30600,30600,30600,30600
