Id,Code,Description
570,8690,Alte activitati referitoare la sanatatea umana
571,8710,Activitati ale centrelor de ingrijire medicala
572,8720,Activitati ale centrelor de recuperare psihica si de dezintoxicare
573,8730,Activitati ale caminelor de batrani si ale caminelor pentru persoane aflate in incapacitate de a se ingriji singure
574,8790,Alte activitati de asistenta sociala
575,8810,Activitati de asistenta sociala
576,8891,Activitati de ingrijire zilnica pentru copii
577,8899,Alte activitati de asistenta sociala
578,9001,Activitati de interpretare artistica (spectacole
579,9002,Activitati suport pentru interpretare artistica (spectacole
580,9003,Activitati de creatie artistica
581,9004,Activitati de gestionare a salilor de spectacole
582,9101,Activitati ale bibliotecilor si arhivelor
583,9102,Activitati ale muzeelor
584,9103,Gestionarea monumentelor
585,9104,Activitati ale gradinilor zoologice
586,9200,Activitati de jocuri de noroc si pariuri
587,9311,Activitati ale bazelor sportive
588,9312,Activitati ale cluburilor sportive
589,9313,Activitati ale centrelor de fitness
590,9319,Alte activitati sportive
591,9321,Balciuri si parcuri de distractii
592,9329,lte activitati recreative si distractive n.c.a.
593,9411,Activitati ale organizatiilor economice si patronale
594,9412,Activitati ale organizatiilor profesionale
595,9420,Activitati ale sindicatelor salariatilor
596,9491,Activitati ale organizatiilor religioase
597,9492,Activitati ale organizatiilor politice
598,9499,Activitati ale altor organizatii n.c.a.;
599,9511,Repararea calculatoarelor si a echipamentelor periferice
600,9512,Repararea echipamentelor de comunicatii
601,9521,Repararea aparatelor electronice
602,9522,Repararea dispozitivelor de uz gospodaresc si a echipamentelor pentru casa si gradina
603,9523,Repararea incaltamintei si a articolelor din piele
604,9524,Repararea mobilei si a furniturilor casnice
605,9525,Repararea ceasurilor si a bijuteriilor
606,9529,Repararea articolelor de uz personal si gospodaresc n.c.a.
607,9601,Spalarea si curatarea (uscata articolelor textile si a produselor din blana
608,9602,Coafura si alte activitati de infrumusetare
609,9603,Activitati de pompe funebre si similare
610,9604,Activitati de intretinere corporala
611,9609,Alte activitati de servicii n.c.a.
612,9700,Activitati ale gospodariilor private in calitate de angajator de personal casnic
613,9810,Activitati ale gospodariilor private de producere de bunuri si servicii destinate consumului propriu
614,9820,Activitati ale gospodariilor private de producere de servicii pentru scopuri proprii
615,9900,Activitati ale organizatiilor si organismelor extrateritoriale
