Id,Code,Description
126,1820,Reproducerea inregistrarilor
127,1910,Fabricarea produselor de cocserie
128,1920,Fabricarea produselor obtinute din prelucrarea titeiului
129,2011,Fabricarea gazelor industriale
130,2012,Fabricarea colorantilor si a pigmentilor
131,2013,Fabricarea altor produse chimice anorganice
132,2014,Fabricarea altor produse chimice organice
133,2015,Fabricarea ingrasamintelor si produselor azotoase
134,2016,Fabricarea materialelor plastice in forme primare
135,2017,Fabricarea cauciucului sintetic in forme primare
136,2020,Fabricarea pesticidelor si a altor produse agrochimice
137,2030,Fabricarea vopselelor
138,2041,Fabricarea sapunurilor
139,2042,Fabricarea parfumurilor si a produselor cosmetice (de toaleta
140,2051,Fabricarea explozivilor
141,2052,Fabricarea cleiurilor
142,2053,Fabricarea uleiurilor esentiale
143,2059,Fabricarea altor produse chimice n.c.a.
144,2060,Fabricarea fibrelor sintetice si artificiale
145,2110,Fabricarea produselor farmaceutice de baza
146,2120,Fabricarea preparatelor farmaceutice
147,2211,Fabricarea anvelopelor si a camerelor de aer; resaparea si refacerea anvelopelor
148,2219,Fabricarea altor produse din cauciuc
149,2221,Fabricarea placilor
150,2222,Fabricarea articolelor de ambalaj din material plastic
151,2223,Fabricarea articolelor din material plastic pentru constructii
152,2229,Fabricarea altor produse din material plastic
153,2311,Fabricarea sticlei plate
154,2312,Prelucrarea si fasonarea sticlei plate
155,2313,Fabricarea articolelor din sticla
156,2314,Fabricarea fibrelor din sticla
157,2319,Fabricarea de sticlarie tehnica
158,2320,Fabricarea de produse refractare
159,2331,Fabricarea placilor si dalelor din ceramica
160,2332,Fabricarea caramizilor
161,2341,Fabricarea articolelor ceramice pentru uz gospodaresc si ornamental
162,2342,Fabricarea de obiecte sanitare din ceramica
163,2343,Fabricarea izolatorilor si pieselor izolante din ceramica
164,2344,Fabricarea altor produse tehnice din ceramica
165,2349,Fabricarea altor produse ceramice n.c.a.
166,2351,Fabricarea cimentului
167,2352,Fabricarea varului si ipsosului
168,2361,Fabricarea produselor din beton pentru constructii
169,2362,Fabricarea produselor din ipsos pentru constructii
170,2363,Fabricarea betonului
171,2364,Fabricarea mortarului
172,2365,Fabricarea produselor din azbociment
173,2369,Fabricarea altor articole din beton
174,2370,Taierea
175,2391,Fabricarea de produse abrazive
176,2399,Fabricarea altor produse din minerale nemetalice
177,2410,Productia de metale feroase sub forme primare si de feroaliaje
178,2420,Productia de tuburi
179,2431,Tragere la rece a barelor
180,2432,Laminare la rece a benzilor inguste
181,2433,Productia de profiluri obtinute la rece
182,2434,Trefilarea firelor la rece
183,2441,Productia metalelor pretioase
184,2442,Metalurgia aluminiului
185,2443,Productia plumbului
186,2444,Metalurgia cuprului
187,2445,Productia altor metale neferoase
188,2446,Prelucrarea combustibililor nucleari
189,2451,Turnarea fontei
190,2452,Turnarea otelului
191,2453,Turnarea metalelor neferoase usoare
192,2454,Turnarea altor metale neferoase
193,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice
194,2512,Fabricarea de usi si ferestre din metal
195,2521,Productia de radiatoare si cazane pentru incalzire centrala
196,2529,Productia de rezervoare
197,2530,Productia generatoarelor de aburi (cu exceptia cazanelor pentru incalzire centrala
198,2540,Fabricarea armamentului si munitiei
199,2550,Fabricarea produselor metalice obtinute prin deformare plastica; metalurgia pulberilor
200,2561,Tratarea si acoperirea metalelor
201,2562,Operatiuni de mecanica generala
202,2571,Fabricarea produselor de taiat
203,2572,Fabricarea articolelor de feronerie
