1395,"Fabricarea  de  textile  neţesute  şi  articole  din  acestea,  cu excepţia confecţiilor de îmbrăcăminte",30600,30600,30600,30600
1399,Fabricarea altor articole textile n.c.a.,30600,30600,30600,30600
1411,Fabricarea articolelor de îmbrăcăminte din piele,30600,30600,30600,30600
1431,Fabricarea   prin   tricotare   sau   croşetare   a   ciorapilor   şi articolelor de galanterie,30600,30600,30600,30600
1439,Fabricarea  prin  tricotare  sau  croşetare  a  altor  articole  de îmbrăcăminte,30600,30600,30600,30600
1621,Fabricarea de furnire şi a panourilor de lemn,30600,30600,30600,30600
1629,"Fabricarea  altor  produse  din  lemn;  fabricarea  articolelor  din plută, paie şi din alte materiale vegetale împletite",30600,30600,30600,30600
1729,Fabricarea altor articole din hârtie şi carton n.c.a.,30600,30600,30600,30600
2219,Fabricarea altor produse din cauciuc,30600,30600,30600,30600
2223,Fabricarea articolelor din material plastic pentru construcţii,30600,30600,30600,30600
2229,Fabricarea altor produse din material plastic,30600,30600,30600,30600
2313,Fabricarea articolelor din sticlă,30600,30600,30600,30600
2319,Fabricarea de sticlărie tehnică,30600,30600,30600,30600
2342,Fabricarea de obiecte sanitare din ceramică,30600,30600,30600,30600
2511,Fabricarea  de  construcţii  metalice  şi  părţi  componente  ale structurilor metalice,30600,30600,30600,30600
2512,Fabricarea de uşi şi ferestre din metal,30600,30600,30600,30600
2593,Fabricarea articolelor din fire metalice; fabricarea de lanţuri şi arcuri,30600,30600,30600,30600
2599,Fabricarea altor articole din metal n.c.a.,30600,30600,30600,30600
4719,"Comerţ cu amănuntul in magazine nespecializate, cu vânzare predominantă de produse nealimentare",31240,30600,30600,30600
4751,"Comerţ cu amănuntul al textilelor, în magazine specializate",31240,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
9523,Repararea încălţămintei şi a articolelor din piele,30600,30600,30600,30600
9524,Repararea mobilei şi a furniturilor casnice,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
1722,"Fabricarea produselor de uz gospodăresc şi sanitar, din hârtie sau carton",30600,30600,30600,30600
2341,Fabricarea  articolelor  ceramice  pentru  uz  gospodăresc  şi ornamental,30600,30600,30600,30600
9521,"Repararea aparatelor electronice, de uz casnic",30600,30600,30600,30600
9522,Repararea     dispozitivelor     de     uz     gospodăresc     şi     a echipamentelor pentru casă şi grădină,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
2219,Fabricarea altor produse din cauciuc,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
